title,price,image,rating,reviews,url,colours,colour,sizes,size,images,stock_info,timestamp
HUG 'n' FEEL SOFT TOYS Teddy Bear 4 Feet Soft Toy | Birthday Gift for Girls Plush & Stuffed Toys,"₹1,099.00",https://m.media-amazon.com/images/I/71oclfTIx3L._SL1500_.jpg,4.0 ,459,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Boyfriend/dp/B0813P1ZHN?th=1,Beige ~|~ Blue ~|~ Brown ~|~ Grey ~|~ Multicolor ~|~ Pink ~|~ Purple ~|~ Rani pink;Red ~|~ Red ~|~ Turtle ~|~ White ~|~ Yellow,Brown,18 cm ~|~ 18cm ~|~ 25cm ~|~ 35cm ~|~ 40 cm ~|~ 40cm ~|~ 45cm ~|~ 52cm ~|~ 55 cm ~|~ 60cm ~|~ 65 cm ~|~ 91cm ~|~ 100 cm ~|~ 110 cm ~|~ 121cm ~|~ 182cm ~|~ New soft toy,0,"['https://m.media-amazon.com/images/I/41CM2Q39uZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41CM2Q39uZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41bwxptMp1L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41N8NJw83EL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DZQMNah0L._SL1500_.jpg']",In stock,2024-08-23T11:10:02Z
Tickles Adroable Lying Dog with Baby Stuffed Soft Plush Animal Toy for Kids Baby Boys & Girls Birthday Gifts (Size: 20 cm Color: Brown),₹399.00,https://m.media-amazon.com/images/I/61Zbe+FTeHL._SL1264_.jpg,4.0 ,678,https://www.amazon.in/Tickles-Brown-Baby-Stuffed-Plush/dp/B01MR9173Y?th=1,Brown Dog ~|~ Dog with Baby ~|~ White & Brown With Muffler ~|~ White Dog,Dog with Baby,28 cm ~|~ 35 cm ~|~ 48 cm ~|~ 20 cm ~|~ 40 cm ~|~ 45 cm,0,"['https://m.media-amazon.com/images/I/41OSoJvEY4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41vTTavb3TL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/410M0HLh4IL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41bSqm4qaSL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41ExpnLP3VL._SL1500_.jpg']",Only 1 left ,2024-08-23T11:10:16Z
"ToYBULK Teddy Bear, Teddy Bear 6 Feet for Girls, Soft Toys for Girls, Big Teddy Bear, Toys for Girls, Birthday Gift for Girls/Wife/Girlfriend/Husband, (6 Feet, Pink)","₹2,250.00",https://m.media-amazon.com/images/I/71hX9T1NnnL._SL1500_.jpg,4.2 ,704,https://www.amazon.in/ToYBULK-Giant-Teddy-Bears-6-Feet/dp/B07R5B5RHV?th=1,Beige ~|~ Black ~|~ Brown ~|~ Chocolate ~|~ Green ~|~ Panda ~|~ Pink ~|~ Purple ~|~ Red ~|~ Sky-Blue ~|~ SkyBlue ~|~ Yellow,Pink,3 Feet ~|~ 4 Feet ~|~ 4 Feet Cap ~|~ 5 Feet ~|~ 6 Feet ~|~ 6.5 Feet ~|~ 7 Feet,0,"['https://m.media-amazon.com/images/I/41ayuLUOQTL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31MTQMErX2L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41suksHSyeL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41nEMrg5gmL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DnMk0KDES._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51861fhQuCL._SL1500_.jpg']",In stock,2024-08-23T11:10:16Z
"HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Figure Bear Plush & Stuffed Toys (Head Pillow, Panda) Lovely Teddy Figure",₹384.00,https://m.media-amazon.com/images/I/61GXlLPtZpL._SL1200_.jpg,4.1 ,57,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Lovable/dp/B09BL8L2ZX?th=1,Black ~|~ Blue ~|~ Brown ~|~ Chocolate ~|~ Cream ~|~ Grey ~|~ Multicolor ~|~ Orange ~|~ Panda ~|~ Pink ~|~ Pink;Blue ~|~ Pink;purple ~|~ Purple ~|~ Red ~|~ White ~|~ White;Purple ~|~ Yellow,White,2 feet ~|~ 3 feet ~|~ 4 feet ~|~ 4feetpink27JULY2021 ~|~ 5 feet ~|~ 6 feet ~|~ 7 feet ~|~ Blue Unicorn 32cm ~|~ Pink Unicorn 32cm ~|~ Yellow unicorn 32cm ~|~ Pink Unicorn 100CM ~|~ White Unicorn 100cm ~|~ small monkey_01 ~|~ Small Panda ~|~ Among us_rani pink_red002 ~|~ Among us_sea green_blue002 ~|~ Among us_yellow_orange002 ~|~ BLACK PENGIUN ~|~ BLUE PENGIUN ~|~ BROWEN DOG ~|~ Cool Shade ~|~ ELEPHANT WITH MONKEY ~|~ Elephant Baby ~|~ KANGAROO ~|~ KOALA ~|~ Kissing ~|~ MONKEY ~|~ PANDA ~|~ SHINCHAN ~|~ SMILEY ~|~ TEDDY ~|~ Unicorn ~|~ WHITE DOG ~|~ eye Heart ~|~ octopus ~|~ panda,0,"['https://m.media-amazon.com/images/I/41qJfhY3mHL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51eW81ZrBML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/5199ckKOBNL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51dbOnqdxHL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51CJM3z41RL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DZQMNah0L._SL1500_.jpg']",In stock,2024-08-23T11:10:36Z
"ToYBULK Teddy Bear, Teddy Bear 6 Feet for Girls, Soft Toys for Girls, Big Teddy Bear, Toys for Girls/Wife/Girlfriend/Husband, (6 Feet, SkyBlue)","₹2,250.00",https://m.media-amazon.com/images/I/71rGzkOKs+L._SL1280_.jpg,4.2 ,704,https://www.amazon.in/ToYBULK-Giant-Teddy-Bears-6-5-Feet/dp/B07B3RMQFF?th=1,Beige ~|~ Black ~|~ Brown ~|~ Chocolate ~|~ Green ~|~ Panda ~|~ Pink ~|~ Purple ~|~ Red ~|~ Sky-Blue ~|~ SkyBlue ~|~ Yellow,SkyBlue,3 Feet ~|~ 4 Feet ~|~ 4 Feet Cap ~|~ 5 Feet ~|~ 6 Feet ~|~ 6.5 Feet ~|~ 7 Feet,0,"['https://m.media-amazon.com/images/I/514XamnzLWL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51TxFswvlrL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51Mpdfi6VbL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51ieyPOQP2L._SL1500_.jpg']",In stock,2024-08-23T11:10:36Z
"KEKEMI Non-Toxic Hugable Cute Stuff Teddy Bear Soft Toys for Kids/Gift, Size 7 Inches (Pack of 2)",₹479.00,https://m.media-amazon.com/images/I/61qtihap0tL._SL1100_.jpg,4.4 ,3,https://www.amazon.in/KEKEMI-Stuffed-Plush-Teddy-Inches/dp/B0827G5M76?th=1,Multi_1 ~|~ Multi_10 ~|~ Multi_11 ~|~ Multi_12 ~|~ Multi_13 ~|~ Multi_14 ~|~ Multi_15 ~|~ Multi_16 ~|~ Multi_17 ~|~ Multi_18 ~|~ Multi_19 ~|~ Multi_2 ~|~ Multi_20 ~|~ Multi_21 ~|~ Multi_22 ~|~ Multi_23 ~|~ Multi_24 ~|~ Multi_25 ~|~ Multi_26 ~|~ Multi_27 ~|~ Multi_28 ~|~ Multi_29 ~|~ Multi_3 ~|~ Multi_30 ~|~ Multi_31 ~|~ Multi_32 ~|~ Multi_34 ~|~ Multi_35 ~|~ Multi_4 ~|~ Multi_5 ~|~ Multi_6 ~|~ Multi_7 ~|~ Multi_8 ~|~ Multi_9,Multi_10,,0,"['https://m.media-amazon.com/images/I/41rcs870FxL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51YKAoBTmgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51W+vNVNGLL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41L-MOTQxBL._SL1500_.jpg']",In stock,2024-08-23T11:10:49Z
Tickles Teddy Bear with Polka Dots Ribbon Bow Soft Stuffed Plush Animal Toy for Kids Baby Girls & Boys Birthday Gifts Valentine's Day (Color: Red and White Size: 25 cm),₹378.00,https://m.media-amazon.com/images/I/81nVHzWEl6L._SL1500_.jpg,5.0 ,1,https://www.amazon.in/Tickles-Stuffed-Birthday-Valentines-Decoration/dp/B08TTH4Y74?th=1,Red & White 3 ~|~ Red 1 ~|~ Red and Blue ~|~ Red and Cream ~|~ Red and White 1 ~|~ Red and White 2 ~|~ Red and White 3 ~|~ White and Red ~|~ red,Red and White 1,20 cm ~|~ 25 ~|~ 25 cm ~|~ 30 ~|~ 35 cm ~|~ 40 cm,0,"['https://m.media-amazon.com/images/I/41JpUS4eCgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41tMYb9ZXSL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41Qxp7q5nfL._SL1500_.jpg']",Only 1 left ,2024-08-23T11:10:55Z
Webby 3 Feet Huggable Teddy Bear with Neck Bow (Beige),₹759.00,https://m.media-amazon.com/images/I/81b0YqTiGIL._SL1500_.jpg,4.0 ,2035,https://www.amazon.in/Webby-Feet-Huggable-Teddy-Beige/dp/B07K2Z2Y6L?th=1,,,,0,"['https://m.media-amazon.com/images/I/41wqWn1z26L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41nT3iCCrnL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41IFB7CawHL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41nbndFmc1L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41XD5vLEtRL._SL1500_.jpg']",In stock,2024-08-23T11:11:17Z
"HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Figure Bear Plush & Stuffed Toys (Emoji Pillow, Smiley Emoji) Lovely Teddy Figure",₹384.00,https://m.media-amazon.com/images/I/61yTAzMpqmL._SL1200_.jpg,4.1 ,57,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Lovable/dp/B09BLB1KCC?th=1,Black ~|~ Blue ~|~ Brown ~|~ Chocolate ~|~ Cream ~|~ Grey ~|~ Multicolor ~|~ Orange ~|~ Panda ~|~ Pink ~|~ Pink;Blue ~|~ Pink;purple ~|~ Purple ~|~ Red ~|~ White ~|~ White;Purple ~|~ Yellow,Yellow,2 feet ~|~ 3 feet ~|~ 4 feet ~|~ 4feetpink27JULY2021 ~|~ 5 feet ~|~ 6 feet ~|~ 7 feet ~|~ Blue Unicorn 32cm ~|~ Pink Unicorn 32cm ~|~ Yellow unicorn 32cm ~|~ Pink Unicorn 100CM ~|~ White Unicorn 100cm ~|~ small monkey_01 ~|~ Small Panda ~|~ Among us_rani pink_red002 ~|~ Among us_sea green_blue002 ~|~ Among us_yellow_orange002 ~|~ BLACK PENGIUN ~|~ BLUE PENGIUN ~|~ BROWEN DOG ~|~ Cool Shade ~|~ ELEPHANT WITH MONKEY ~|~ Elephant Baby ~|~ KANGAROO ~|~ KOALA ~|~ Kissing ~|~ MONKEY ~|~ PANDA ~|~ SHINCHAN ~|~ SMILEY ~|~ TEDDY ~|~ Unicorn ~|~ WHITE DOG ~|~ eye Heart ~|~ octopus ~|~ panda,0,"['https://m.media-amazon.com/images/I/416jLvCvyKL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51l03DAi5mL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DZQMNah0L._SL1500_.jpg']",In stock,2024-08-23T11:11:17Z
SCOOBA Super Soft Sleeping Unicorn Soft Toy Medium Size 65cm Made in India,₹664.00,https://m.media-amazon.com/images/I/41h6q4i0jKL._SX300_SY300_QL70_FMwebp_.jpg,4.2 ,482,https://www.amazon.in/SCOOBA-Sleeping-Unicorn-Medium-Random/dp/B092R4Z739?th=1,,,,0,"['https://m.media-amazon.com/images/I/41h6q4i0jKL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/513weP-0qeL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41+FOxbVMNL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41hKAbDedZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41iZ1k-vLhL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/416svjxTUmL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41wxDQ+ghsS._SL1500_.jpg']",In stock,2024-08-23T11:11:53Z
